,Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Supervisorial_Districts_Waterline_data_from_7pkg_wer3,apn,new_units
50265,201405155796,2,new construction wood frame,2014-05-15,7331,037,150,,Summit,Wy,,,"erect 3 stories, 1 basement, type 5, 2 dwelling units building.",complete,2015-10-27,2014-05-15,2015-01-15,2015-10-27,,,,3.0,,,2017-12-30,702500.0,702500.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.7155599553972, -122.47574431549818)",1341944498434,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/037,2.0
50302,201405155826,2,new construction wood frame,2014-05-15,7331,109,117,,Summit,Wy,,,"erect 4 stories, 1 basement, type 5, 2 dwelling units building.",complete,2015-11-19,2014-05-15,2015-01-15,2015-11-19,,,,4.0,,,2017-12-30,800320.0,800320.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71522275401457, -122.47574088682222)",1341983498333,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/109,2.0
50301,201405155826,2,new construction wood frame,2014-05-15,7331,109,115,,Summit,Wy,,,"erect 4 stories, 1 basement, type 5, 2 dwelling units building.",complete,2015-11-19,2014-05-15,2015-01-15,2015-11-19,,,,4.0,,,2017-12-30,800320.0,800320.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71522275401457, -122.47574088682222)",1341982498334,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/109,2.0
50296,201405155825,2,new construction wood frame,2014-05-15,7331,108,113,,Summit,Wy,,,"erect 4 stories, 1 basement, type 5, 2 dwelling units building.",complete,2015-11-13,2014-05-15,2015-01-15,2015-11-13,,,,4.0,,,2017-12-30,800320.0,800320.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.715210773234894, -122.47563649800459)",1341977498335,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/108,2.0
50293,201405155814,2,new construction wood frame,2014-05-15,7331,107,109,,Summit,Wy,,,"erect 4 stories, 1 basement, type 5, 2 dwelling units building.",issued,2015-01-15,2014-05-15,2015-01-15,,,,,4.0,,,2017-12-30,800320.0,800320.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71519667691715, -122.47553091453592)",1341972498337,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/107,2.0
50292,201405155814,2,new construction wood frame,2014-05-15,7331,107,107,,Summit,Wy,,,"erect 4 stories, 1 basement, type 5, 2 dwelling units building.",issued,2015-01-15,2014-05-15,2015-01-15,,,,,4.0,,,2017-12-30,800320.0,800320.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71519667691715, -122.47553091453592)",1341971498338,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/107,2.0
50288,201405155813,2,new construction wood frame,2014-05-15,7331,082,295,,Summit,Wy,,,"erect 2 stories, 1 basement, type 5, 1 dwelling unit building.",complete,2015-09-21,2014-05-15,2015-01-15,2015-09-21,,,,2.0,,,2017-12-30,380800.0,380800.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71498435023325, -122.47562868645828)",1341967498371,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/082,1.0
50280,201405155812,2,new construction wood frame,2014-05-15,7331,081,293,,Summit,Wy,,,"erect 2 stories, 1 basement, type 5, 1 dwelling unit building.",complete,2015-09-18,2014-05-15,2015-01-15,2015-09-18,,,,2.0,,,2017-12-30,380800.0,380800.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.714999121240005, -122.47570784944823)",1341959498372,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/081,1.0
50274,201405155808,2,new construction wood frame,2014-05-15,7331,080,291,,Summit,Wy,,,"erect 2 stories, 1 basement, type 5, 1 dwelling unit building.",complete,2015-09-23,2014-05-15,2015-01-15,2015-09-23,,,,2.0,,,2017-12-30,380800.0,380800.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.7150111675434, -122.47578780396125)",1341952498373,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/080,1.0
50269,201405155825,2,new construction wood frame,2014-05-15,7331,108,111,,Summit,Wy,,,"erect 4 stories, 1 basement, type 5, 2 dwelling units building.",complete,2015-11-13,2014-05-15,2015-01-15,2015-11-13,,,,4.0,,,2017-12-30,800320.0,800320.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.715210773234894, -122.47563649800459)",1341976498336,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/108,2.0
50266,201405155796,2,new construction wood frame,2014-05-15,7331,037,152,,Summit,Wy,,,"erect 3 stories, 1 basement, type 5, 2 dwelling units building.",complete,2015-10-27,2014-05-15,2015-01-15,2015-10-27,,,,3.0,,,2017-12-30,702500.0,702500.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.7155599553972, -122.47574431549818)",1341945498433,42.0,10.0,8.0,16.0,64.0,1.0,4.0,5.0,5.0,7331/037,2.0
200308,201504153735,2,new construction wood frame,2015-04-15,6685,049,240,,Chenery,St,,,"front bldg. erect 3-story, 1 basement, type 5, 1 dwelling unit building. maher exempted.",complete,2020-07-13,2015-04-15,2018-02-26,2020-07-13,2018-08-09,,,3.0,,,2021-02-10,1500000.0,1200000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,8.0,Glen Park,94131.0,"(37.73832379041506, -122.4265615161707)",1498308505397,59.0,9.0,5.0,10.0,63.0,2.0,5.0,4.0,1.0,6685/049,1.0
263475,201805159092,2,new construction wood frame,2018-05-15,1610,023,756,,35th,Av,,,"erect 4 story, type 5, 2 dwelling units, front building.",issued,2019-08-16,2018-05-15,2019-08-16,,2020-06-12,,,4.0,,,2021-08-16,800000.0,800000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.774780965861126, -122.49477048098258)",1564311515793,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1610/023,2.0
233708,201408053094,2,new construction wood frame,2014-08-05,3502,108,198,,Valencia,St,,,"to erect 5 stories, no basement, type 5-a, 28 units residential condo and commercial building. (r-2,m)** maher: compliance with ordinance is required **",issued,2018-11-29,2014-08-05,2018-11-29,,,,,5.0,,,2024-10-28,3000000.0,7500000.0,,,apartments,28.0,2.0,,,,5.0,wood frame (5),Y,8.0,Mission,94103.0,"(37.770096284858695, -122.42268628570866)",1533281513537,32.0,1.0,5.0,20.0,28853.0,8.0,5.0,2.0,1.0,3502/108,28.0
113060,201512215657,2,new construction wood frame,2015-12-21,6580,035,4043,,Cesar Chavez,St,,,"construct (n) 4 stories, no basement, 2 units dwelling residence.",complete,2019-08-22,2015-12-21,2017-09-12,2019-08-22,2018-03-22,,,4.0,,,2020-08-27,650000.0,650000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,8.0,Noe Valley,94131.0,"(37.747261209555724, -122.43022579919372)",1407273462197,84.0,9.0,5.0,22.0,63.0,2.0,5.0,4.0,1.0,6580/035,2.0
140159,201608296272,2,new construction wood frame,2016-08-29,4884,026,2800,,Arelious Walker,Dr,,,"to erect 3 stories, no basement, type vb, 31 units apartments with parking.** maher: n/a **",complete,2019-05-02,2016-08-29,2017-03-13,2019-05-02,2017-06-22,,,3.0,,,2023-02-10,14000000.0,14000000.0,,,apartments,31.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.71975314907749, -122.38729117907701)",1435450507185,88.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4884/026,31.0
233656,201811286925,2,new construction wood frame,2018-11-28,5651,024,121,,Gates,St,,,erect (n) 2-story single family residence,issued,2020-02-19,2018-11-28,2020-02-19,,2020-09-15,,,2.0,,,2022-02-19,191000.0,653880.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,9.0,Bernal Heights,94110.0,"(37.740874870307834, -122.41368541323342)",1533225185809,83.0,9.0,2.0,2.0,28859.0,2.0,7.0,4.0,7.0,5651/024,1.0
140089,201608296214,2,new construction wood frame,2016-08-29,4266,035,2799,,24th,St,,,"to erect 3 stories, no basement, type va, 4 units residential over 2 commercial tenant space building.",issued,2020-03-10,2016-08-29,2020-03-10,,,,,3.0,,,2022-09-10,1440000.0,1543350.0,,,apartments,4.0,2.0,,,,5.0,wood frame (5),Y,9.0,Mission,94110.0,"(37.75264808258692, -122.40802206043372)",1435378172771,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,4266/035,4.0
113272,201512235830,2,new construction wood frame,2015-12-23,0459,007,1598,,Bay,St,,,"to erect 4 stories, 1 basement, 28 units residential & commercial building.** maher: n/a **",complete,2018-11-01,2015-12-23,2016-10-21,2018-11-01,2016-12-13,,,4.0,,,2022-09-20,10500000.0,10500000.0,,,apartments,28.0,2.0,,,,5.0,wood frame (5),Y,2.0,Marina,94123.0,"(37.80337067163728, -122.43305160640995)",140748970906,17.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0459/007,28.0
139867,201412012693,2,new construction wood frame,2014-12-01,6521,025,50,,Lucky,St,,,construct (n) 4-story single family dwelling residence.,complete,2018-02-06,2014-12-01,2016-08-25,2018-02-06,2016-10-07,,,4.0,,,2019-08-10,800000.0,570000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,9.0,Mission,94110.0,"(37.75129782289368, -122.41362854137462)",1435139507166,53.0,3.0,2.0,20.0,28859.0,2.0,7.0,7.0,7.0,6521/025,1.0
263258,201901291531,2,new construction wood frame,2019-01-29,6612,020,470,,Valley,St,,,"to erect 4 stories, no basment, type v-b, 2 units residential bldg.",issued,2019-08-28,2019-01-29,2019-08-28,,2019-12-02,,,4.0,,,2021-08-28,1000000.0,951000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,8.0,Noe Valley,94131.0,"(37.744381986659405, -122.43269547029014)",1564078515791,84.0,9.0,5.0,22.0,63.0,2.0,5.0,4.0,1.0,6612/020,2.0
112877,201512185520,2,new construction wood frame,2015-12-18,5358,005A,5118,,03rd,St,,,to erect 4 stories of 6 dwelling unit.type 5-a construction.,issued,2020-01-10,2015-12-18,2020-01-10,,,,,4.0,,,2022-07-10,1950000.0,2244221.0,,,apartments,6.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.73203275134842, -122.39197045462525)",1407082180601,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5358/005A,6.0
263476,201805159092,2,new construction wood frame,2018-05-15,1610,023,758,,35th,Av,,,"erect 4 story, type 5, 2 dwelling units, front building.",issued,2019-08-16,2018-05-15,2019-08-16,,2020-06-12,,,4.0,,,2021-08-16,800000.0,800000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.774780965861126, -122.49477048098258)",1564312515792,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1610/023,2.0
112324,201512145036,2,new construction wood frame,2015-12-14,4591C,135,19,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement, single family dwelling.",complete,2019-12-26,2015-12-14,2016-10-11,2019-12-26,2017-05-15,,,3.0,,,2019-09-26,1.0,498485.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.72674973544439, -122.36918806200885)",1406501503626,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/135,1.0
112325,201512145037,2,new construction wood frame,2015-12-14,4591C,134,21,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement, single family dwelling.",complete,2019-12-26,2015-12-14,2016-10-11,2019-12-26,2017-05-15,,,3.0,,,2019-09-26,1.0,498485.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.726726964307446, -122.36926097323742)",1406502503625,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/134,1.0
112326,201512145038,2,new construction wood frame,2015-12-14,4591C,133,23,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement, single family dwelling.",complete,2019-12-27,2015-12-14,2016-10-11,2019-12-27,2017-05-15,,,3.0,,,2019-09-26,1.0,498485.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.72671169975496, -122.36933706754434)",1406503503624,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/133,1.0
112422,201512144958,2,new construction wood frame,2015-12-14,4591C,151,33,,Kirkwood,Av,,,"erect 3-story, type 5-b, no basement, single family dwelling.",complete,2019-11-18,2015-12-14,2016-10-12,2019-11-18,2017-05-15,,,3.0,,,2019-09-27,1.0,498485.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.72666553750972, -122.36969313104517)",1406600503613,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4591C/151,1.0
141109,201402269324,2,new construction wood frame,2014-02-26,4008,003,586,,De Haro,St,,,"erect 3-story, 1 basement, type v, 2 dwelling units building.",complete,2019-09-16,2014-02-26,2017-04-12,2019-09-16,2017-10-30,,,3.0,,,2020-03-27,600000.0,762000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.762564799214125, -122.40169886166734)",1436451507233,54.0,2.0,9.0,26.0,28856.0,8.0,8.0,3.0,6.0,4008/003,2.0
141108,201402269324,2,new construction wood frame,2014-02-26,4008,003,588,,De Haro,St,,,"erect 3-story, 1 basement, type v, 2 dwelling units building.",complete,2019-09-16,2014-02-26,2017-04-12,2019-09-16,2017-10-30,,,3.0,,,2020-03-27,600000.0,762000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.762564799214125, -122.40169886166734)",1436450496976,54.0,2.0,9.0,26.0,28856.0,8.0,8.0,3.0,6.0,4008/003,2.0
112641,201512175322,2,new construction wood frame,2015-12-17,1273,017,1010,,Stanyan,St,,,erect 4 stories of 4 dwelling unit multi family res'd. type 5 construction.,complete,2020-06-26,2015-12-17,2018-11-07,2020-06-26,2018-12-31,,,4.0,,,2021-10-22,1250000.0,1250000.0,,,apartments,4.0,2.0,,,,5.0,wood frame (5),Y,5.0,Haight Ashbury,94117.0,"(37.76523247721504, -122.45242016749441)",1406833241488,29.0,7.0,11.0,3.0,29492.0,15.0,11.0,8.0,10.0,1273/017,4.0
141112,201402269332,2,new construction wood frame,2014-02-26,4008,003,1916,,18th,St,,,"erect 4-story, type v, no basement, 2 dwelling units building.",complete,2019-04-25,2014-02-26,2016-09-23,2019-04-25,2017-01-05,,,4.0,,,2019-09-08,537000.0,707000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,10.0,Potrero Hill,94107.0,"(37.762564799214125, -122.40169886166734)",1436454507260,54.0,2.0,9.0,26.0,28856.0,8.0,8.0,3.0,6.0,4008/003,2.0
115211,201404012185,2,new construction wood frame,2014-04-01,0867,031,160,,Germania,St,,,"rear building. erect a 3 stories, no basement, type 5, single family dwelling.",complete,2019-07-23,2014-04-01,2016-01-19,2019-07-23,2016-08-26,,,4.0,,,2019-01-03,500000.0,523000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,5.0,Hayes Valley,94117.0,"(37.77079798560936, -122.4311589101036)",1409509505674,28.0,7.0,11.0,9.0,29492.0,15.0,11.0,6.0,10.0,0867/031,1.0
115996,201412163783,2,new construction wood frame,2014-12-16,0025,024,3000,,Larkin,St,,,contruct (n) 4-story mixed-used building (commercial & residential),issued,2016-02-11,2014-12-16,2016-02-11,,,,,4.0,,,2022-01-10,2500000.0,2500000.0,,,apartments,5.0,2.0,,,,5.0,wood frame (5),Y,2.0,Russian Hill,94109.0,"(37.80574958284813, -122.4218155678242)",1410324347385,98.0,6.0,6.0,32.0,28858.0,5.0,1.0,1.0,11.0,0025/024,5.0
233437,201707141936,2,new construction wood frame,2017-07-14,1193,048,2150,,Hayes,St,,,"(building c). to erect 3 stories, 1 basement, type v-a, 3 units residential building.",issued,2018-12-17,2017-07-14,2018-12-17,,2019-07-05,,,3.0,,,2021-12-01,1651600.0,1651600.0,,,apartments,3.0,2.0,,,,5.0,wood frame (5),Y,5.0,Lone Mountain/USF,94117.0,"(37.77347245442957, -122.4520054742558)",1532987513510,24.0,7.0,11.0,18.0,29492.0,15.0,11.0,8.0,10.0,1193/048,3.0
203143,201707141970,2,new construction wood frame,2017-07-14,4653,020,909,,Innes,Av,,,erect a three story type five construction two dwelling unit building. maher exempt with letter from health dept.,complete,2019-02-01,2017-07-14,2018-03-21,2019-02-01,2018-04-25,,,3.0,,,2021-03-05,400000.0,450000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.73198656587916, -122.37627568680284)",1501277511035,78.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4653/020,2.0
116155,201601278103,2,new construction wood frame,2016-01-27,0552,031,1776,,Vallejo,St,,,"to erect 2 stories, no basement, type v-b, single family residence.",issued,2019-08-27,2016-01-27,2019-08-27,,,,,2.0,,,2021-08-27,299000.0,307269.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,2.0,Marina,94123.0,"(37.79652492944717, -122.4266764622382)",1410482505703,102.0,4.0,6.0,13.0,57.0,13.0,1.0,6.0,11.0,0552/031,1.0
116600,201310169408,2,new construction wood frame,2013-10-16,1731,015,1271,,19th,Av,,,"to erect 4 stories, 1 basement, 2 units residential building.",complete,2020-12-09,2013-10-16,2016-02-01,2020-12-09,2016-11-15,,,4.0,,,2019-01-16,500000.0,805300.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,4.0,Sunset/Parkside,94122.0,"(37.764103816740246, -122.47754330124427)",1410946505729,39.0,10.0,7.0,35.0,56.0,1.0,3.0,5.0,4.0,1731/015,2.0
116601,201310169408,2,new construction wood frame,2013-10-16,1731,015,1273,,19th,Av,,,"to erect 4 stories, 1 basement, 2 units residential building.",complete,2020-12-09,2013-10-16,2016-02-01,2020-12-09,2016-11-15,,,4.0,,,2019-01-16,500000.0,805300.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,4.0,Sunset/Parkside,94122.0,"(37.764103816740246, -122.47754330124427)",1410947505728,39.0,10.0,7.0,35.0,56.0,1.0,3.0,5.0,4.0,1731/015,2.0
137353,201608044167,2,new construction wood frame,2016-08-04,5377,070,161,,Charter Oak,Av,,,"161 charter oak - subdivided - erect a 3 story, type 5b, no basement, single family dwelling.",issued,2020-10-16,2016-08-04,2020-10-16,,,,,3.0,,,2022-10-16,300000.0,450000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.73522048635735, -122.40418925503359)",1432500180892,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5377/070,1.0
1161,201609066826,2,new construction wood frame,2016-09-06,2880,022,40,,Dorantes,Av,,,"erect 4-story, type v, single family dwelling building.",issued,2018-06-25,2016-09-06,2018-06-25,,,,,4.0,,,2021-06-09,875000.0,975000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,7.0,West of Twin Peaks,94116.0,"(37.746222787800406, -122.46320212140773)",1436192490885,45.0,10.0,8.0,41.0,29491.0,1.0,4.0,5.0,5.0,2880/022,1.0
114940,201512185520,2,new construction wood frame,2015-12-18,5358,005A,5122,,03rd,St,,,to erect 4 stories of 6 dwelling unit.type 5-a construction.,issued,2020-01-10,2015-12-18,2020-01-10,,,,,4.0,,,2022-07-10,1950000.0,2244221.0,,,apartments,6.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.73203275134842, -122.39197045462525)",1409216454271,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5358/005A,6.0
138590,201608165091,2,new construction wood frame,2016-08-16,5627,042,495,,Chapman,St,,,"to erect 3 stories, no basement, single family dwelling building.",complete,2019-09-16,2016-08-16,2017-03-09,2019-09-16,,,,3.0,,,2020-02-22,120000.0,382565.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),,9.0,Bernal Heights,94110.0,"(37.74171135101975, -122.4130033915061)",1433806364486,83.0,9.0,2.0,2.0,28859.0,10.0,7.0,4.0,7.0,5627/042,1.0
113777,201512316214,2,new construction wood frame,2015-12-31,1404,041,318,,30th,Av,,,"to erect 3 stories, 1 basement, 2 family dwelling. type 5b construction",issued,2018-10-31,2015-12-31,2018-10-31,,2019-05-29,,,3.0,,,2021-10-15,800000.0,825000.0,,,2 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.78323712095232, -122.49000807785292)",140801898272,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1404/041,2.0
113824,201512316246,2,new construction wood frame,2015-12-31,3753,099,225,,Shipley,St,,,to erect 4 stories of 9 dwelling units - maher ordinance - extended ordinance no.155-13 not required,issued,2018-08-02,2015-12-31,2018-08-02,,2018-12-12,,,4.0,,,2024-07-01,1080000.0,2663000.0,,,apartments,9.0,2.0,,,,5.0,wood frame (5),Y,6.0,South of Market,94107.0,"(37.779276677733094, -122.40326443568986)",1408064166233,32.0,1.0,10.0,34.0,28856.0,14.0,9.0,2.0,3.0,3753/099,9.0
113861,201601046276,2,new construction wood frame,2016-01-04,4937,017,2626,,Griffith,St,,,"to erect 3 stories, no basement, single family dwelling.",issued,2019-03-06,2016-01-04,2019-03-06,,,,,3.0,,,2022-02-18,350000.0,840000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.71862148753371, -122.38808021361871)",1408103447779,88.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,4937/017,1.0
114138,201601066485,2,new construction wood frame,2016-01-06,5334,031,2175,,Quesada,Av,,,"to erect 2 stories, no basement, single family home.",issued,2019-07-11,2016-01-06,2019-07-11,,2020-12-03,,,2.0,,,2021-07-11,500000.0,750000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.7381787269011, -122.40051173456946)",1408391505583,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5334/031,1.0
202007,201307222452,2,new construction wood frame,2013-07-22,5320,015,1891,,Oakdale,Av,,,"to erect 4 stories, no basement, type v-b, 2 unit residential buildling.",issued,2018-03-12,2013-07-22,2018-03-12,,2018-12-11,,,4.0,,,2021-02-24,480000.0,1002000.0,,,1 family dwelling,2.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.73747661248307, -122.39592648279574)",1500087510887,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5320/015,2.0
114768,201409055492,2,new construction wood frame,2014-09-05,1456,023,6042,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,2017-09-29,2014-09-05,2016-01-14,2017-09-29,2016-04-27,,,4.0,,,2018-12-29,850000.0,1150000.0,,,apartments,3.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.78041298713647, -122.48448220073585)",1409046505665,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1456/023,3.0
114769,201409055492,2,new construction wood frame,2014-09-05,1456,023,6044,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,2017-09-29,2014-09-05,2016-01-14,2017-09-29,2016-04-27,,,4.0,,,2018-12-29,850000.0,1150000.0,,,apartments,3.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.78041298713647, -122.48448220073585)",1409047505668,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1456/023,3.0
114770,201409055492,2,new construction wood frame,2014-09-05,1456,023,6046,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,2017-09-29,2014-09-05,2016-01-14,2017-09-29,2016-04-27,,,4.0,,,2018-12-29,850000.0,1150000.0,,,apartments,3.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.78041298713647, -122.48448220073585)",1409048505666,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1456/023,3.0
114771,201409055492,2,new construction wood frame,2014-09-05,1456,023,6048,,Geary,Bl,,,"to erect 4 stories, 3 units condominium building and one retail.",complete,2017-09-29,2014-09-05,2016-01-14,2017-09-29,2016-04-27,,,4.0,,,2018-12-29,850000.0,1150000.0,,,apartments,3.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94121.0,"(37.78041298713647, -122.48448220073585)",1409049505669,8.0,8.0,4.0,29.0,55.0,11.0,2.0,9.0,9.0,1456/023,3.0
114837,201601137024,2,new construction wood frame,2016-01-13,5334,030,2179,,Quesada,Av,,,"erect 2-story, type 5, no basement, single family dwelling building.",issued,2019-07-11,2016-01-13,2019-07-11,,2020-12-03,,,2.0,,,2021-07-11,300000.0,650000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.738218599814495, -122.4005821170788)",1409115179601,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5334/030,1.0
137352,201608044165,2,new construction wood frame,2016-08-04,5377,071,159,,Charter Oak,Av,,,"159 charter oak - subdivided - erect a 3 story, type 5b, no basement, single family dwelling.",issued,2020-10-16,2016-08-04,2020-10-16,,,,,3.0,,,2022-10-16,300000.0,440000.0,,,1 family dwelling,1.0,2.0,,,,5.0,wood frame (5),Y,10.0,Bayview Hunters Point,94124.0,"(37.735370214285034, -122.40428518941172)",1432499180893,87.0,2.0,9.0,1.0,58.0,10.0,8.0,3.0,6.0,5377/071,1.0
