Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
BLD19-01406	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	692 DISTEL DR	17011021	10/11/2019	10/16/2019	12/4/2019
BLD19-01410	PHOTOVOLTAIC	PV	FINALED	PV	1932 SOMERSET CT	34225006	10/14/2019	10/17/2019	2/28/2020
BLD19-01418	PHOTOVOLTAIC	PV	FINALED	PV	632 SPARGUR DR	17020043	10/15/2019	10/22/2019	11/12/2019
BLD19-01425	SFD	ONE-STORY	ISSUED	SFD	11 YERBA BUENA AVE	16729002	10/16/2019	5/27/2020	NULL
BLD19-01437	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition	1433 MIRAMONTE AVE	19341032	10/17/2019	10/17/2019	11/13/2019
BLD19-01440	PHOTOVOLTAIC	PV/BACK UP	ISSUED	PV/ENERGY STORAGE SYSTEM	110 LOS ALTOS AVE	16735043	10/17/2019	10/24/2019	NULL
BLD19-01449	PHOTOVOLTAIC	PV	FINALED	PV	857 SANTA RITA AVE	16718069	10/21/2019	12/5/2019	1/9/2020
BLD19-01452	DEMOLITION	COMMERCIAL BUILDING	ISSUED	Demo Existing Buildings	97 HILLVIEW DR	NULL	10/21/2019	10/21/2019	NULL
BLD19-01450	MULTI FAMILY	CONDOMINIUM	SUBMITTED	New Multi-Family 	425 1ST ST	16741019	10/21/2019	NULL	NULL
BLD19-01454	ADU	DETACHED	FINALED	ADU	565 HARRINGTON AVE	18941029	10/22/2019	3/30/2020	10/6/2020
BLD19-01456	DEMOLITION	SWIMMING POOL	ISSUED	SWP DEMO	564 CASITA WAY	17010043	10/22/2019	10/22/2019	NULL
BLD19-01459	SFD	ONE-STORY	ISSUED	SFD	606 PACO DR	18938002	10/22/2019	2/13/2020	NULL
BLD19-01472	PHOTOVOLTAIC	PV	FINALED	PV	835 RIVERSIDE DR	18943021	10/23/2019	11/5/2019	1/17/2020
BLD19-01475	PHOTOVOLTAIC	PV	FINALED	PV	744 LOS ALTOS AVE	16721012	10/23/2019	10/28/2019	12/31/2019
BLD19-01476	PHOTOVOLTAIC	PV	FINALED	PV	1415 KRING WAY	34206059	10/23/2019	11/21/2019	12/4/2019
BLD19-01489	PHOTOVOLTAIC	PV	FINALED	PV/EV	340 ARBOLEDA DR	18951015	10/25/2019	11/12/2019	12/2/2019
BLD19-01502	PHOTOVOLTAIC	PV	CANCELLED	PV-Canceled 1/8/2020.	166 PEPPER DR	17040057	10/28/2019	11/4/2019	NULL
BLD19-01503	PHOTOVOLTAIC	PV AND SERVICE UPGRADE	FINALED	PV & Service Upgrade	600 GUADALUPE DR	16743029	10/28/2019	10/28/2019	5/7/2020
BLD19-01504	PHOTOVOLTAIC	PV	FINALED	PV	1104 HIGHLANDS CIR	34226033	10/28/2019	10/28/2019	11/21/2019
BLD19-01505	PHOTOVOLTAIC	PV	FINALED	PV	1453 BROOKMILL RD	19701012	10/28/2019	11/4/2019	11/18/2019
BLD19-01515	SFD	ONE-STORY	ISSUED	SFD	1188 RICHARDSON AVE	31802012	10/30/2019	6/9/2020	NULL
BLD19-01517	PHOTOVOLTAIC	PV AND SERVICE UPGRADE	FINALED	PV and Main Panel Upgrade	1432 BROOKMILL RD	19704047	10/30/2019	12/20/2019	1/23/2020
BLD19-01518	PHOTOVOLTAIC	PV AND SERVICE UPGRADE	ISSUED	PV and Main Panel Upgrade	1505 GRANT RD	19717045	10/30/2019	12/10/2019	NULL
BLD19-01519	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV & Energy Storage	144 LOUCKS AVE	16716009	10/30/2019	11/5/2019	6/25/2020
BLD19-01521	PHOTOVOLTAIC	PV	ISSUED	PV	2090 ROBIN HOOD LN	34210003	10/30/2019	11/21/2019	NULL
BLD19-01523	PHOTOVOLTAIC	PV	FINALED	PV	645 UNIVERSITY AVE	17516040	10/30/2019	11/8/2019	11/18/2019
BLD19-01524	PHOTOVOLTAIC	PV	FINALED	PV	446 LOS ALTOS AVE	16742054	10/30/2019	11/13/2019	1/21/2020
BLD19-01533	PHOTOVOLTAIC	PV/BACK UP	CANCELLED	PV/ESS- Cancelled by Louis/Tesla on 10/7/19	1317 BELLWOOD CT	31805029	10/31/2019	NULL	NULL
BLD19-01536	PHOTOVOLTAIC	PV	FINALED	PV	1413 OAK AVE	19719013	10/31/2019	11/14/2019	11/20/2019
BLD19-01537	PHOTOVOLTAIC	PV	FINALED	PV	133 W EDITH AVE	16736061	11/4/2019	11/7/2019	3/10/2020
BLD19-01545	PHOTOVOLTAIC	PV	FINALED	PV	1454 MARLBAROUGH CT	19714008	11/4/2019	12/3/2019	6/25/2020
BLD19-01555	SFD	ONE-STORY	ISSUED	SFD	584 JAY ST	17032005	11/5/2019	10/19/2020	NULL
BLD19-01556	PHOTOVOLTAIC	PV	FINALED	PV	2078 LOUISE LN	31825036	11/5/2019	11/14/2019	2/19/2020
BLD19-01557	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV and Energy Storage	2210 VIA MADEROS	34228033	11/5/2019	11/14/2019	2/28/2020
BLD19-01561	PHOTOVOLTAIC	PV	FINALED	PV	1545 CLAY DR	31820051	11/5/2019	12/3/2019	1/13/2020
BLD19-01563	PHOTOVOLTAIC	PV	FINALED	PV	10905 BEECHWOOD LN	34204049	11/5/2019	11/12/2019	11/26/2019
BLD19-01573	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV/ESS	1873 ALFORD AVE	31818004	11/6/2019	11/13/2019	6/3/2020
BLD19-01574	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV/ESS	300 CUESTA DR	18951060	11/6/2019	11/13/2019	12/23/2019
BLD19-01578	PHOTOVOLTAIC	PV	FINALED	PV	2081 HUNTINGTON LN	34210093	11/8/2019	11/25/2019	1/13/2020
BLD19-01579	PHOTOVOLTAIC	PV	FINALED	PV	177 S GORDON WAY	17028010	11/8/2019	11/21/2019	11/26/2019
BLD19-01583	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	1625 AUSTIN AVE	31808004	11/8/2019	11/18/2019	12/23/2019
BLD19-01596	PHOTOVOLTAIC	PV	FINALED	PV	315 QUINNHILL ROAD	33644036	11/12/2019	11/18/2019	1/8/2020
BLD19-01597	PHOTOVOLTAIC	PV	FINALED	PV	565 CASITA WAY	17019010	11/12/2019	11/21/2019	12/11/2019
BLD19-01599	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV/ ESS	62 CHESTER CIR	17001002	11/13/2019	12/5/2019	6/3/2020
BLD19-01600	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV / ESS	1345 MIRAVALLE AVE	19719076	11/13/2019	11/18/2019	2/3/2020
BLD19-01610	DEMOLITION	MAIN STRUCTURE	FINALED	DEMO EXISTING HOUSE	697 BENVENUE AVE	18938061	11/14/2019	11/14/2019	11/22/2019
BLD19-01615	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV & E/S	2042 FARNDON AVE	31816007	11/18/2019	12/5/2019	12/24/2019
BLD19-01627	PHOTOVOLTAIC	PV	FINALED	PV	22885 ASPEN DR	34203058	11/19/2019	1/3/2020	1/27/2020
BLD19-01630	SFD	TWO-STORY	ISSUED	SFD / Attached ADU	324 CHERRY AVE	16732045	11/20/2019	9/17/2020	NULL
BLD19-01631	PHOTOVOLTAIC	PV	FINALED	PV	164 HIGGINS AVE	17031019	11/20/2019	12/2/2019	12/30/2019
BLD19-01636	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	625 STARDUST LN	18936019	11/21/2019	11/26/2019	1/7/2020
BLD19-01637	SFD	ONE-STORY	ISSUED	New single family dwelling	1941 FARNDON AVE	31823040	11/21/2019	9/10/2020	NULL
BLD19-01638	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition	659 SPARGUR DR	17020005	11/21/2019	11/21/2019	12/18/2019
BLD19-01639	DEMOLITION	SWIMMING POOL	FINALED	Swimming Pool Demo	360 S EL MONTE AVE	17036029	11/21/2019	11/21/2019	11/22/2019
BLD19-01645	PHOTOVOLTAIC	PV	FINALED	Phototovoltaic System	2415 CRISTO REY PL	34206064	11/22/2019	12/4/2019	2/5/2020
BLD19-01646	DEMOLITION	MAIN STRUCTURE	FINALED	DEMO EXISTING HOUSE	901 MADONNA WAY	33603029	11/22/2019	11/22/2019	12/3/2019
BLD19-01647	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	1305 OAK AVE	19719039	11/22/2019	12/4/2019	6/2/2020
BLD19-01652	PHOTOVOLTAIC	PV	FINALED	Install Roof mounted PV system 7.0kW	1165 MIGUEL AVE	31802006	11/25/2019	11/25/2019	1/31/2020
BLD19-01659	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV/ESS	1215 PORTLAND AVE	19333029	11/25/2019	11/25/2019	2/14/2020
BLD19-01660	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV & E/S	1634 DALLAS CT	31808009	11/25/2019	12/5/2019	9/10/2020
BLD19-01661	PHOTOVOLTAIC	PV	ISSUED	PV	675 SHADY CREEK LN	18940101	11/25/2019	1/16/2020	NULL
BLD19-01662	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV & E/S	970 COVINGTON RD	18911067	11/25/2019	11/25/2019	2/11/2020
BLD19-01667	PHOTOVOLTAIC	PV	FINALED	PV	330 ARBOLEDA DR	18951014	11/26/2019	12/11/2019	2/20/2020
BLD19-01669	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV & Energy Storage	934 MERCEDES AVE	16715016	11/26/2019	12/19/2019	5/18/2020
BLD19-01670	ADU	DETACHED	ISSUED	ADU	24841 SUMMERHILL AVE	33614004	11/26/2019	6/5/2020	10/12/2020
BLD19-01676	PHOTOVOLTAIC	PV	FINALED	PV	1460 OAKHURST AVE	19341025	12/2/2019	12/11/2019	3/2/2020
BLD19-01677	PHOTOVOLTAIC	PV	FINALED	PV	370 LUNADA DR	16710056	12/2/2019	12/5/2019	12/17/2019
BLD19-01678	PHOTOVOLTAIC	PV	FINALED	PV	1335 OAK AVE	19719037	12/2/2019	12/19/2019	12/31/2019
BLD19-01679	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV & Energy S.	2271 GRANT RD	31824047	12/2/2019	12/5/2019	5/26/2020
BLD19-01680	SFD	ONE-STORY	ISSUED	SFD	2 YERBA BUENA AVE	16729059	12/2/2019	7/29/2020	NULL
BLD19-01683	PHOTOVOLTAIC	PV	ISSUED	PV	151 BRIDGTON CT	16731041	12/2/2019	12/4/2019	NULL
BLD19-01686	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	1230 EVA AVE	34209001	12/3/2019	12/17/2019	12/23/2019
BLD19-01691	SFD	ONE-STORY	ISSUED	SFD	237 N AVALON DR	17021003	12/4/2019	NULL	NULL
BLD19-01693	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV&ENERGY STORAGE	865 GARDENIA WAY	33601014	12/4/2019	12/11/2019	2/10/2020
BLD19-01708	DEMOLITION	SWIMMING POOL	FINALED	Swimming Pool Demolition	646 ALMOND AVE	17033012	12/6/2019	1/15/2020	1/31/2020
BLD19-01709	PHOTOVOLTAIC	PV	FINALED	PV	1615 RANDOLPH PKWY	31808029	12/9/2019	12/12/2019	1/29/2020
BLD19-01711	PHOTOVOLTAIC	PV	FINALED	PV	166 PEPPER DR	17040057	12/9/2019	1/2/2020	1/7/2020
BLD19-01717	PHOTOVOLTAIC	PV	FINALED	Install Roof mounted PV System 5.18kW	1131 SUFFOLK CT	19344043	12/9/2019	12/19/2019	5/6/2020
BLD19-01723	SFD	ONE-STORY	ISSUED	SFD & ADU	42 SAN JUAN CT	17013061	12/10/2019	7/20/2020	NULL
BLD19-01725	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV/BATTERY	1525 KENSINGTON CIR	19337016	12/10/2019	12/18/2019	6/19/2020
BLD20-00798	ADU	DETACHED	ISSUED	ADU	42 SAN JUAN CT	17013061	12/10/2019	7/20/2020	NULL
BLD19-01733	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV	561 ORANGE AVE	17516015	12/11/2019	12/19/2019	3/30/2020
BLD19-01737	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV&ENERGY STORAGE	29 LOS ALTOS AVE	16736042	12/11/2019	12/11/2019	12/31/2019
BLD19-01738	PHOTOVOLTAIC	PV/EV	FINALED	PV & EV Charger	1848 JUAREZ AVE	31805055	12/11/2019	12/19/2019	5/20/2020
BLD19-01732	SFD	ONE-STORY	SUBMITTED	SFD	221 FREMONT AVE	18948028	12/11/2019	NULL	NULL
BLD19-01740	PHOTOVOLTAIC	PV	ISSUED	Roof mounted PV suystem 10.36kW and downsize main breaker	234 LYELL ST	17037014	12/12/2019	12/19/2019	NULL
BLD19-01743	PHOTOVOLTAIC	PV	FINALED	PV	1964 KNOLLWOOD LN	34207104	12/12/2019	12/20/2019	1/3/2020
BLD19-01758	PHOTOVOLTAIC	PV	FINALED	PV	1930 COLLEEN DR	31813007	12/16/2019	12/20/2019	3/16/2020
BLD19-01761	PHOTOVOLTAIC	PV	ISSUED	Photovoltaic system	2465 CRISTO REY PL	34206066	12/16/2019	1/16/2020	NULL
BLD19-01762	PHOTOVOLTAIC	PV	ISSUED	PV	718 VERA CRUZ AVE	17014020	12/16/2019	2/4/2020	NULL
BLD19-01763	PHOTOVOLTAIC	PV	FINALED	"PV, storage system & load center"	427 PACO DR	18953049	12/16/2019	2/4/2020	3/9/2020
BLD19-01764	PHOTOVOLTAIC	PV	ISSUED	Photovoltaic System	666 LINCOLN AVE	17517043	12/16/2019	12/20/2019	NULL
BLD19-01765	PHOTOVOLTAIC	PV	FINALED	PV	722 RAYMUNDO AVE	18929037	12/16/2019	12/30/2019	1/14/2020
BLD19-01769	MIXED USE		SUBMITTED	New Mixed Use Building	389 First Street	NULL	12/16/2019	NULL	NULL
BLD19-01771	PHOTOVOLTAIC	PV	FINALED	PV	961 THATCHER CT	19326035	12/16/2019	1/31/2020	7/28/2020
BLD19-01756	SFD	ONE-STORY	SUBMITTED	SFD	1028 LOS ALTOS AVE	16714010	12/16/2019	NULL	NULL
BLD19-01774	DEMOLITION	MAIN STRUCTURE	FINALED	Demo	959 CLINTON RD	18913013	12/17/2019	12/17/2019	12/20/2019
BLD19-01775	PHOTOVOLTAIC	PV	FINALED	PV	46 OAK ST	16736057	12/17/2019	12/19/2019	2/20/2020
BLD19-01777	ADU	DETACHED	ISSUED	ADU	1544A MARLBAROUGH AVE	19716056	12/17/2019	6/2/2020	NULL
BLD19-01780	PHOTOVOLTAIC	PV	FINALED	PV	471 DISTEL DR	17018006	12/17/2019	1/2/2020	1/27/2020
BLD19-01784	PHOTOVOLTAIC	PV	FINALED	Install roof mounted PV system 7.56kW	1739 HAWKINS DR	19705031	12/17/2019	12/19/2019	3/16/2020
BLD19-01779	SFD	ONE-STORY	SUBMITTED	SFD	211 GARLAND WAY	16730024	12/17/2019	NULL	NULL
BLD19-01793	ADU	DETACHED	APPROVED	ADU	127 N AVALON DR	NULL	12/18/2019	NULL	NULL
BLD19-01795	ADU	DETACHED	ISSUED	ADU	659 SPARGUR DR	17020005	12/18/2019	12/18/2019	NULL
BLD19-01796	PHOTOVOLTAIC	PV	FINALED	PV	1628 RANDOLPH PKWY	31808022	12/18/2019	12/30/2019	1/29/2020
BLD19-01797	ADU	DETACHED	APPROVED	ADU	21A OSAGE AVE	17028025	12/18/2019	NULL	NULL
BLD19-01799	PHOTOVOLTAIC	PV/BACK UP	FINALED	Install roof mounted PV 11.34kW and ESS	343 WAVERLY LN	17027021	12/19/2019	12/19/2019	5/19/2020
BLD19-01801	SFD	TWO-STORY	APPROVED	Two Story Residence + Cabana	119 CORONADO AVE	16729051	12/19/2019	NULL	NULL
BLD19-01815	PHOTOVOLTAIC	PV	ISSUED	Photovoltaic System	505 PINE LN	16725065	12/19/2019	2/20/2020	NULL
BLD19-01802	SFD	TWO-STORY	SUBMITTED	SFD	1050 ROSEMONT AVE	19340018	12/19/2019	NULL	NULL
BLD19-01824	ADU	ATTACHED	ISSUED	ADU	1622 GRANT RD	31802050	12/20/2019	5/11/2020	NULL
BLD19-01827	SFD	ONE-STORY	ISSUED	SFD with Basement	1452 MARLBAROUGH CT	19714007	12/23/2019	10/14/2020	NULL
BLD19-01829	SFD	TWO-STORY	ISSUED	SFD with Basement Lot 1	67 LYELL ST	NULL	12/23/2019	6/25/2020	NULL
BLD19-01831	SFD	TWO-STORY	ISSUED	New 2 Story SFD LOT2	77 LYELL ST	NULL	12/23/2019	6/29/2020	NULL
BLD19-01833	PHOTOVOLTAIC	PV	FINALED	PV	2220 ANCORA CT	34228034	12/23/2019	1/13/2020	3/4/2020
BLD19-01837	PHOTOVOLTAIC	PV	FINALED	PV	1183 MIGUEL AVE	31802004	12/23/2019	1/6/2020	1/13/2020
BLD19-01840	PHOTOVOLTAIC	PV	FINALED	PV	1240 CARMEL TER	19343025	12/23/2019	1/7/2020	1/31/2020
BLD19-01841	ADU	ATTACHED	SUBMITTED	ADU	731 WESTMINSTER LN	16721042	12/23/2019	NULL	NULL
BLD19-01842	SFD	ONE-STORY	ISSUED	New SFD	400 LA PRENDA RD	18949008	12/24/2019	8/31/2020	NULL
BLD19-01845	DEMOLITION	SWIMMING POOL	FINALED	Pool Demo	622 MILVERTON RD	17519013	12/24/2019	12/24/2019	1/27/2020
BLD19-01847	SFD	ONE-STORY	ISSUED	New SFD with basement & ADU	437 MUNDELL WAY	NULL	12/24/2019	5/18/2020	NULL
BLD19-01851	SFD	ONE-STORY	ISSUED	SFD	1034 GOLDEN WAY	18910011	12/24/2019	9/8/2020	NULL
BLD19-01846	ADU	DETACHED	SUBMITTED	ADU	181 SYLVIAN WAY	16732048	12/24/2019	NULL	NULL
BLD19-01848	SFD	ONE-STORY	SUBMITTED	SFD	1406 MARINOVICH WAY	19718042	12/24/2019	NULL	NULL
BLD19-01857	SFD	ONE-STORY	ISSUED	New One-Story Residence	918 STANLEY AVE	18911032	12/31/2019	7/29/2020	NULL
BLD19-01858	PHOTOVOLTAIC	PV	FINALED	PV	1276 RICHARDSON AVE	31802020	12/31/2019	1/9/2020	2/3/2020
BLD19-01862	SFD	ONE-STORY	SUBMITTED	New SFD	705 CASITA WAY	17004007	12/31/2019	NULL	NULL
BLD19-01867	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition of Residence	437 Mundell Way	NULL	1/2/2020	1/2/2020	2/6/2020
BLD20-00001	DEMOLITION	MAIN STRUCTURE	FINALED	Stop Work - Demolition of Residence	231 YERBA BUENA AVE	16732036	1/3/2020	1/3/2020	1/7/2020
BLD20-00020	PHOTOVOLTAIC	PV	FINALED	Install 7.77kW PV system	677 ARROWOOD CT	18943010	1/9/2020	1/16/2020	5/12/2020
BLD20-00022	PHOTOVOLTAIC	PV	FINALED	Install 5.94kW PV system	743 BERRY AVE	18918055	1/9/2020	1/15/2020	3/9/2020
BLD20-00028	ADU	DETACHED	ISSUED	Addition/ADU	22826 SEQUOIA DR	34203074	1/9/2020	1/9/2020	NULL
BLD20-00044	PHOTOVOLTAIC	PV	FINALED	PV	1320 SUNRISE CT	19334013	1/15/2020	1/23/2020	2/24/2020
BLD20-00046	PHOTOVOLTAIC	PV	FINALED	PV	1530 TIPTOE LN	19702051	1/16/2020	1/23/2020	2/28/2020
BLD20-00048	PHOTOVOLTAIC	PV	FINALED	PV	519 W PORTOLA AVE	16719031	1/17/2020	2/6/2020	2/12/2020
BLD20-00055	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition	606 PACO DR	18938002	1/21/2020	1/21/2020	2/10/2020
BLD20-00057	PHOTOVOLTAIC	PV	FINALED	Photovoltaic Panels  - PARSONAGE	123 N EL MONTE AVE	18934030	1/21/2020	2/20/2020	6/24/2020
BLD20-00058	PHOTOVOLTAIC	PV	FINALED	PV System - CHURCH	101 N EL MONTE AVE	18934030	1/21/2020	2/20/2020	6/24/2020
BLD20-00060	PHOTOVOLTAIC	PV	ISSUED	Photovoltaic System	615 CASITA WAY	17010014	1/21/2020	2/4/2020	NULL
BLD20-00062	PHOTOVOLTAIC	PV	FINALED	PV	1217 ST MATTHEW WAY	34238003	1/21/2020	1/27/2020	2/27/2020
BLD20-00067	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition of Residence	11 YERBA BUENA AVE	16729002	1/22/2020	1/22/2020	3/24/2020
BLD20-00073	PHOTOVOLTAIC	PV	FINALED	PV	55 DOUD DR	17031043	1/23/2020	1/29/2020	2/24/2020
BLD20-00091	PHOTOVOLTAIC	PV	FINALED	Install roof mounted PV System 3.78kW	300 VALENCIA DR	17023044	1/29/2020	2/4/2020	2/24/2020
BLD20-00099	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition	67 LYELL STREET	NULL	1/30/2020	1/30/2020	2/10/2020
BLD20-00103	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	1925 DEODARA DR	34225026	1/30/2020	2/5/2020	3/12/2020
BLD20-00120	ADU	DETACHED	ISSUED	Detached ADU	668 A SPRINGER TER	18936036	2/5/2020	9/17/2020	NULL
BLD20-00128	PHOTOVOLTAIC	PV/BACK UP	ISSUED	Install ESS and Solar	1540 KENSINGTON CIR	19337017	2/5/2020	2/13/2020	NULL
BLD20-00129	PHOTOVOLTAIC	PV	FINALED	PV	974 YORKSHIRE DR	34211055	2/6/2020	2/6/2020	8/12/2020
BLD20-00135	DEMOLITION	MAIN STRUCTURE	FINALED	Demolition	918 STANLEY AVE	18911032	2/6/2020	2/6/2020	3/16/2020
BLD20-00136	DEMOLITION	SWIMMING POOL	FINALED	SWP Demolition	721 CASITA WAY	17004012	2/10/2020	2/10/2020	2/27/2020
BLD20-00151	PHOTOVOLTAIC	PV	ISSUED	Install Roof mounted PV Sytem 3.78kW	1328 MIDDLETON CT	31805013	2/12/2020	2/13/2020	NULL
BLD20-00152	PHOTOVOLTAIC	PV/BACK UP	FINALED	ESS and PV	2024 LOUISE LN	31825027	2/12/2020	2/13/2020	3/9/2020
BLD20-00168	PHOTOVOLTAIC	PV	FINALED	PV	664 PALM AVE	17517031	2/18/2020	2/20/2020	5/8/2020
BLD20-00169	PHOTOVOLTAIC	PV	FINALED	PV	1546 CANTERBURY WAY	19716057	2/18/2020	2/20/2020	6/4/2020
BLD20-00170	PHOTOVOLTAIC	PV	ISSUED	PV+Main Service Panel	1260 CARMEL TER	19343028	2/18/2020	2/27/2020	NULL
BLD20-00173	PHOTOVOLTAIC	PV	FINALED	PV	756 CASA BONITA CT	18941086	2/18/2020	2/26/2020	5/28/2020
BLD20-00175	PHOTOVOLTAIC	PV	FINALED	PV	765 RAYMUNDO AVE	18929055	2/19/2020	2/26/2020	6/30/2020
BLD20-00183	PHOTOVOLTAIC	PV/BACK UP	ISSUED	PV+ESS	975 ST JOSEPH CT	34210011	2/20/2020	2/28/2020	NULL
BLD20-00187	PHOTOVOLTAIC	PV	FINALED	PV	76 HIGGINS AVE	17031026	2/20/2020	2/28/2020	6/5/2020
BLD20-00189	PHOTOVOLTAIC	PV	FINALED	PV	723 LA PRENDA RD	18950056	2/20/2020	3/11/2020	8/20/2020
BLD20-00190	PHOTOVOLTAIC	PV	FINALED	PV	1573 LANDELL CT	31817017	2/20/2020	2/25/2020	3/16/2020
BLD20-00193	DEMOLITION	MAIN STRUCTURE	FINALED	Demolish Main Structure	726 ROSE LN	18942052	2/24/2020	2/24/2020	3/10/2020
BLD20-00196	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	1395 GRANT CT	19719096	2/24/2020	2/26/2020	3/4/2020
BLD20-00202	PHOTOVOLTAIC	PV	FINALED	PV+Panel Upgrade	106 SUNKIST LN	17029029	2/24/2020	3/2/2020	6/9/2020
BLD20-00203	PHOTOVOLTAIC	PV	ISSUED	PV	190 LYELL ST	17037009	2/24/2020	2/25/2020	NULL
BLD20-00204	DEMOLITION	SWIMMING POOL	FINALED	SWP Demo	1329 CHELSEA DR	19713012	2/24/2020	2/24/2020	3/9/2020
BLD20-00206	PHOTOVOLTAIC	PV/BACK UP	FINALED	PV/ESS	1753 KIRCHER CT	31821007	2/25/2020	2/28/2020	8/4/2020
BLD20-00208	PHOTOVOLTAIC	PV	FINALED	PV	1140 PORTLAND AVE	19339040	2/25/2020	2/26/2020	5/22/2020
BLD20-00214	PHOTOVOLTAIC	PV	FINALED	PV	1210 FREMONT AVE	31802042	2/25/2020	3/2/2020	3/10/2020
BLD20-00215	PHOTOVOLTAIC	PV	FINALED	PV+AC combiner box	2090 ROBIN HOOD LN	34210003	2/25/2020	2/27/2020	5/27/2020
BLD20-00221	PHOTOVOLTAIC	PV	FINALED	PV	1649 PINEHURST DR	19703024	2/26/2020	3/3/2020	5/26/2020
BLD20-00222	ADU	DETACHED	ISSUED	Detached ADU	584 JAY ST	17032005	2/26/2020	5/5/2020	NULL
BLD20-00224	SFD	ONE-STORY	ISSUED	SFD	870 BERRY AVE	18912069	2/27/2020	9/28/2020	NULL
BLD20-00226	PHOTOVOLTAIC	PV	FINALED	Photovoltaic System	1300 SUNRISE CT	19334011	2/27/2020	3/4/2020	3/11/2020
BLD20-00232	PHOTOVOLTAIC	PV	ISSUED	PV	366 WAREC WAY	17511008	2/28/2020	2/28/2020	NULL
BLD20-00244	PHOTOVOLTAIC	PV/BACK UP	ISSUED	Solar roof and ESS	991 S SPRINGER RD	18920046	3/4/2020	3/5/2020	NULL
BLD20-00245	PHOTOVOLTAIC	PV/BACK UP	FINALED	Install 10.50kW PV and (4) Powerwalls	722 ARROYO RD	18929003	3/4/2020	3/11/2020	8/5/2020
BLD20-00247	PHOTOVOLTAIC	PV	ISSUED	Install Tesla Solar Roof 5.14kW	625 HAWTHORNE AVE	18936004	3/4/2020	3/5/2020	NULL
BLD20-00255	SFD	TWO-STORY	ISSUED	Two Story Residence with Basement - STOP WORK	645 LOS NINOS WAY	17011010	3/5/2020	8/4/2020	NULL
BLD20-00263	PHOTOVOLTAIC	PV	ISSUED	Install 7.56kW PV system	1372 PRITCHETT CT	19719031	3/9/2020	3/10/2020	NULL
BLD20-00264	PHOTOVOLTAIC	PV	RECORD CREATED IN ERROR	Install Tesla Solar Roof 9.58kW	1666 JOLLY CT	31801029	3/9/2020	NULL	NULL
BLD20-00265	PHOTOVOLTAIC	PV	ISSUED	Install Tesla Solar Roof 9.58kW	1666 JOLLY CT	31801029	3/9/2020	3/10/2020	NULL
BLD20-00270	PHOTOVOLTAIC	PV	FINALED	PV	155 ANGELA DR	17024045	3/9/2020	3/16/2020	7/13/2020
BLD20-00271	PHOTOVOLTAIC	PV	FINALED	PV	10945 BEECHWOOD LN	34204048	3/9/2020	3/16/2020	10/8/2020
BLD20-00293	DEMOLITION	SWIMMING POOL	CANCELED	Swimming Pool Demolition	1386 CHELSEA CT	19719007	3/12/2020	NULL	NULL
BLD20-00301	SFD	ONE-STORY	ISSUED	SFD - STOP WORK ISSUED	1686 DALEHURST AVE	31811031	3/12/2020	8/12/2020	NULL
BLD20-00303	SFD	TWO-STORY	CANCELLED	SFD - APPLICANT TO SUBMIT NEW PROJECT/CEASED PLAN REVIEW	744 LINDEN AVE	16721031	3/12/2020	NULL	NULL
BLD20-00309	PHOTOVOLTAIC	PV	ISSUED	Install Tesla Solar Roof 7.95kW	200 CHATEAU DR	17023078	3/16/2020	5/19/2020	NULL
BLD20-00310	ADU	ATTACHED	ISSUED	Attached ADU	1194 PAYNE DR	19338036	3/16/2020	7/2/2020	NULL
BLD20-00322	PHOTOVOLTAIC	PV	ISSUED	Install roof mounted PV system 11.34kW	5757 ARBORETUM DR	34204037	4/10/2020	5/19/2020	NULL
